P,L,S,Ansatz,E
1,1,100,ZZ,-9.32
1,1,100,GI,-14.05
1,1,500,ZZ,-9.804000000000002
1,1,500,GI,-13.754
1,1,1000,ZZ,-10.109000000000002
1,1,1000,GI,-13.937999999999999
1,2,100,ZZ,-13.220000000000002
1,2,100,GI,-14.579999999999998
1,2,500,ZZ,-13.566
1,2,500,GI,-14.475999999999999
1,2,1000,ZZ,-13.376000000000001
1,2,1000,GI,-14.32
1,3,100,ZZ,-11.56
1,3,100,GI,-13.790000000000001
1,3,500,ZZ,-11.628
1,3,500,GI,-14.416
1,3,1000,ZZ,-13.264000000000001
1,3,1000,GI,-14.098
2,1,100,ZZ,-16.13
2,1,100,GI,-23.550000000000004
2,1,500,ZZ,-16.916
2,1,500,GI,-23.170000000000005
2,1,1000,ZZ,-16.815000000000005
2,1,1000,GI,-23.316
2,2,100,ZZ,-22.78
2,2,100,GI,-22.51
2,2,500,ZZ,-22.006000000000004
2,2,500,GI,-23.41
2,2,1000,ZZ,-22.231
2,2,1000,GI,-23.603
2,3,100,ZZ,-22.34
2,3,100,GI,-23.380000000000003
2,3,500,ZZ,-21.584000000000003
2,3,500,GI,-23.437999999999995
2,3,1000,ZZ,-22.894999999999996
2,3,1000,GI,-23.684
3,1,100,ZZ,-23.439999999999998
3,1,100,GI,-32.48999999999999
3,1,500,ZZ,-23.458000000000002
3,1,500,GI,-32.876
3,1,1000,ZZ,-23.489
3,1,1000,GI,-33.344
3,2,100,ZZ,-29.35
3,2,100,GI,-31.34
3,2,500,ZZ,-30.953999999999997
3,2,500,GI,-33.559999999999995
3,2,1000,ZZ,-31.511000000000003
3,2,1000,GI,-33.555
3,3,100,ZZ,-29.97
3,3,100,GI,-31.61
3,3,500,ZZ,-30.932
3,3,500,GI,-32.79
3,3,1000,ZZ,-31.439999999999998
3,3,1000,GI,-32.927
