P,L,S,Ansatz,E
1,1,100,ZZ,-10.350000000000001
1,1,100,GI,-13.170000000000002
1,1,500,ZZ,-9.902000000000003
1,1,500,GI,-13.959999999999999
1,1,1000,ZZ,-9.518999999999998
1,1,1000,GI,-13.752
1,2,100,ZZ,-12.11
1,2,100,GI,-13.559999999999999
1,2,500,ZZ,-13.815999999999999
1,2,500,GI,-14.162
1,2,1000,ZZ,-13.661
1,2,1000,GI,-14.167
1,3,100,ZZ,-11.859999999999998
1,3,100,GI,-14.3
1,3,500,ZZ,-13.494
1,3,500,GI,-14.286
1,3,1000,ZZ,-13.540000000000001
1,3,1000,GI,-14.087
2,1,100,ZZ,-15.63
2,1,100,GI,-23.380000000000003
2,1,500,ZZ,-17.071999999999996
2,1,500,GI,-23.442
2,1,1000,ZZ,-16.334
2,1,1000,GI,-23.479000000000003
2,2,100,ZZ,-21.78
2,2,100,GI,-23.0
2,2,500,ZZ,-22.000000000000004
2,2,500,GI,-23.962
2,2,1000,ZZ,-22.368
2,2,1000,GI,-23.690999999999995
2,3,100,ZZ,-22.52
2,3,100,GI,-23.759999999999998
2,3,500,ZZ,-22.317999999999994
2,3,500,GI,-23.772000000000002
2,3,1000,ZZ,-22.399000000000004
2,3,1000,GI,-23.543000000000003
3,1,100,ZZ,-23.870000000000005
3,1,100,GI,-33.04999999999999
3,1,500,ZZ,-24.007999999999996
3,1,500,GI,-33.518000000000015
3,1,1000,ZZ,-23.517999999999994
3,1,1000,GI,-32.75
3,2,100,ZZ,-29.409999999999997
3,2,100,GI,-31.600000000000005
3,2,500,ZZ,-31.561999999999998
3,2,500,GI,-32.912
3,2,1000,ZZ,-31.090999999999998
3,2,1000,GI,-32.939
3,3,100,ZZ,-30.380000000000003
3,3,100,GI,-32.83
3,3,500,ZZ,-31.882000000000005
3,3,500,GI,-33.054
3,3,1000,ZZ,-31.650999999999993
3,3,1000,GI,-33.268
