P,L,S,Ansatz,E
1,1,100,ZZ,-9.51
1,1,100,GI,-13.89
1,1,500,ZZ,-10.158
1,1,500,GI,-13.876000000000003
1,1,1000,ZZ,-9.901
1,1,1000,GI,-14.126000000000001
1,2,100,ZZ,-13.35
1,2,100,GI,-13.980000000000002
1,2,500,ZZ,-13.596
1,2,500,GI,-14.006
1,2,1000,ZZ,-13.111
1,2,1000,GI,-14.19
1,3,100,ZZ,-11.73
1,3,100,GI,-13.52
1,3,500,ZZ,-13.32
1,3,500,GI,-13.876000000000001
1,3,1000,ZZ,-13.511
1,3,1000,GI,-14.273000000000003
2,1,100,ZZ,-16.210000000000004
2,1,100,GI,-23.320000000000004
2,1,500,ZZ,-16.494000000000007
2,1,500,GI,-23.386000000000006
2,1,1000,ZZ,-16.658
2,1,1000,GI,-23.730000000000004
2,2,100,ZZ,-22.179999999999996
2,2,100,GI,-24.25
2,2,500,ZZ,-22.304000000000002
2,2,500,GI,-23.704000000000004
2,2,1000,ZZ,-22.588
2,2,1000,GI,-23.74
2,3,100,ZZ,-20.07
2,3,100,GI,-23.72
2,3,500,ZZ,-22.557999999999996
2,3,500,GI,-23.616000000000007
2,3,1000,ZZ,-20.636
2,3,1000,GI,-23.783
3,1,100,ZZ,-23.500000000000004
3,1,100,GI,-33.18
3,1,500,ZZ,-23.074
3,1,500,GI,-32.748
3,1,1000,ZZ,-23.851999999999997
3,1,1000,GI,-33.079
3,2,100,ZZ,-28.76
3,2,100,GI,-31.67
3,2,500,ZZ,-30.726000000000003
3,2,500,GI,-33.73799999999999
3,2,1000,ZZ,-31.545
3,2,1000,GI,-33.40800000000001
3,3,100,ZZ,-28.539999999999996
3,3,100,GI,-30.709999999999997
3,3,500,ZZ,-31.34
3,3,500,GI,-32.934
3,3,1000,ZZ,-31.866
3,3,1000,GI,-33.364
