P,L,S,Ansatz,E
1,1,100,ZZ,-9.359999999999998
1,1,100,GI,-13.77
1,1,500,ZZ,-10.201999999999998
1,1,500,GI,-14.012
1,1,1000,ZZ,-9.968000000000002
1,1,1000,GI,-13.833
1,2,100,ZZ,-13.81
1,2,100,GI,-13.120000000000001
1,2,500,ZZ,-13.232000000000001
1,2,500,GI,-13.822
1,2,1000,ZZ,-13.595999999999998
1,2,1000,GI,-14.469000000000001
1,3,100,ZZ,-13.16
1,3,100,GI,-13.299999999999999
1,3,500,ZZ,-13.54
1,3,500,GI,-14.113999999999999
1,3,1000,ZZ,-13.549000000000001
1,3,1000,GI,-14.294
2,1,100,ZZ,-17.680000000000007
2,1,100,GI,-22.990000000000002
2,1,500,ZZ,-16.624000000000002
2,1,500,GI,-23.424000000000007
2,1,1000,ZZ,-16.948999999999998
2,1,1000,GI,-23.69
2,2,100,ZZ,-21.22
2,2,100,GI,-22.57
2,2,500,ZZ,-20.488000000000007
2,2,500,GI,-23.482
2,2,1000,ZZ,-22.43
2,2,1000,GI,-24.244000000000003
2,3,100,ZZ,-22.23
2,3,100,GI,-22.86
2,3,500,ZZ,-22.718
2,3,500,GI,-23.964000000000002
2,3,1000,ZZ,-22.490000000000002
2,3,1000,GI,-23.357
3,1,100,ZZ,-23.050000000000004
3,1,100,GI,-32.18
3,1,500,ZZ,-24.004000000000005
3,1,500,GI,-32.82600000000001
3,1,1000,ZZ,-23.65499999999999
3,1,1000,GI,-33.45
3,2,100,ZZ,-30.61
3,2,100,GI,-31.369999999999997
3,2,500,ZZ,-30.895999999999997
3,2,500,GI,-33.24000000000001
3,2,1000,ZZ,-31.221999999999998
3,2,1000,GI,-33.137
3,3,100,ZZ,-29.479999999999997
3,3,100,GI,-29.130000000000003
3,3,500,ZZ,-31.494000000000007
3,3,500,GI,-33.032000000000004
3,3,1000,ZZ,-29.098999999999993
3,3,1000,GI,-33.007
