P,L,S,Ansatz,E
1,1,100,ZZ,-9.83
1,1,100,GI,-13.059999999999999
1,1,500,ZZ,-9.382
1,1,500,GI,-14.314
1,1,1000,ZZ,-9.752999999999998
1,1,1000,GI,-13.913
1,2,100,ZZ,-12.940000000000001
1,2,100,GI,-13.870000000000001
1,2,500,ZZ,-13.626000000000001
1,2,500,GI,-14.396
1,2,1000,ZZ,-13.217000000000002
1,2,1000,GI,-13.892
1,3,100,ZZ,-13.419999999999998
1,3,100,GI,-13.059999999999997
1,3,500,ZZ,-13.182000000000002
1,3,500,GI,-14.274000000000001
1,3,1000,ZZ,-13.357999999999999
1,3,1000,GI,-14.065000000000001
2,1,100,ZZ,-15.290000000000004
2,1,100,GI,-21.94
2,1,500,ZZ,-16.369999999999994
2,1,500,GI,-23.706000000000003
2,1,1000,ZZ,-16.965999999999998
2,1,1000,GI,-23.687
2,2,100,ZZ,-20.430000000000003
2,2,100,GI,-23.069999999999993
2,2,500,ZZ,-22.422
2,2,500,GI,-23.854
2,2,1000,ZZ,-22.703999999999997
2,2,1000,GI,-23.662999999999997
2,3,100,ZZ,-20.46
2,3,100,GI,-22.41
2,3,500,ZZ,-21.802
2,3,500,GI,-23.721999999999998
2,3,1000,ZZ,-22.352999999999998
2,3,1000,GI,-23.742000000000004
3,1,100,ZZ,-23.39
3,1,100,GI,-32.14
3,1,500,ZZ,-23.770000000000003
3,1,500,GI,-33.089999999999996
3,1,1000,ZZ,-23.215999999999998
3,1,1000,GI,-33.717000000000006
3,2,100,ZZ,-29.28
3,2,100,GI,-33.06000000000001
3,2,500,ZZ,-31.000000000000007
3,2,500,GI,-32.948
3,2,1000,ZZ,-31.695
3,2,1000,GI,-33.511
3,3,100,ZZ,-28.78
3,3,100,GI,-30.759999999999998
3,3,500,ZZ,-30.884000000000007
3,3,500,GI,-32.872
3,3,1000,ZZ,-31.364
3,3,1000,GI,-32.564
