P,L,S,Ansatz,E
1,1,100,ZZ,-9.92
1,1,100,GI,-13.990000000000002
1,1,500,ZZ,-9.414
1,1,500,GI,-13.719999999999999
1,1,1000,ZZ,-9.310999999999998
1,1,1000,GI,-14.200999999999999
1,2,100,ZZ,-13.229999999999999
1,2,100,GI,-13.64
1,2,500,ZZ,-13.557999999999998
1,2,500,GI,-13.924
1,2,1000,ZZ,-13.700999999999999
1,2,1000,GI,-14.175
1,3,100,ZZ,-13.180000000000001
1,3,100,GI,-14.01
1,3,500,ZZ,-12.934
1,3,500,GI,-14.033999999999999
1,3,1000,ZZ,-13.375000000000002
1,3,1000,GI,-14.185
2,1,100,ZZ,-16.319999999999997
2,1,100,GI,-24.250000000000004
2,1,500,ZZ,-16.562
2,1,500,GI,-23.458000000000002
2,1,1000,ZZ,-16.69600000000001
2,1,1000,GI,-23.499000000000002
2,2,100,ZZ,-23.140000000000004
2,2,100,GI,-23.330000000000002
2,2,500,ZZ,-23.043999999999993
2,2,500,GI,-23.704
2,2,1000,ZZ,-22.567999999999998
2,2,1000,GI,-23.428000000000004
2,3,100,ZZ,-21.849999999999998
2,3,100,GI,-22.68
2,3,500,ZZ,-20.183999999999997
2,3,500,GI,-23.8
2,3,1000,ZZ,-22.722
2,3,1000,GI,-23.508000000000003
3,1,100,ZZ,-23.179999999999993
3,1,100,GI,-32.05
3,1,500,ZZ,-23.975999999999996
3,1,500,GI,-33.196000000000005
3,1,1000,ZZ,-23.531999999999996
3,1,1000,GI,-33.007999999999996
3,2,100,ZZ,-30.819999999999997
3,2,100,GI,-33.01
3,2,500,ZZ,-31.206
3,2,500,GI,-33.21
3,2,1000,ZZ,-31.546999999999997
3,2,1000,GI,-33.217000000000006
3,3,100,ZZ,-30.070000000000004
3,3,100,GI,-30.720000000000002
3,3,500,ZZ,-31.491999999999997
3,3,500,GI,-32.644
3,3,1000,ZZ,-31.110999999999994
3,3,1000,GI,-33.508
