P,L,S,Ansatz,E
1,1,100,ZZ,-9.389999999999999
1,1,100,GI,-13.81
1,1,500,ZZ,-8.529999999999998
1,1,500,GI,-14.061999999999998
1,1,1000,ZZ,-9.426
1,1,1000,GI,-14.133000000000001
1,2,100,ZZ,-13.55
1,2,100,GI,-13.8
1,2,500,ZZ,-13.235999999999999
1,2,500,GI,-14.388
1,2,1000,ZZ,-13.728
1,2,1000,GI,-14.167
1,3,100,ZZ,-14.64
1,3,100,GI,-13.749999999999998
1,3,500,ZZ,-13.589999999999998
1,3,500,GI,-14.088000000000001
1,3,1000,ZZ,-13.442999999999998
1,3,1000,GI,-14.052
2,1,100,ZZ,-17.38
2,1,100,GI,-23.490000000000002
2,1,500,ZZ,-16.444000000000003
2,1,500,GI,-23.304000000000002
2,1,1000,ZZ,-17.181
2,1,1000,GI,-23.919000000000004
2,2,100,ZZ,-21.419999999999995
2,2,100,GI,-23.23
2,2,500,ZZ,-22.374000000000002
2,2,500,GI,-23.843999999999998
2,2,1000,ZZ,-22.424
2,2,1000,GI,-23.777
2,3,100,ZZ,-20.409999999999997
2,3,100,GI,-22.45
2,3,500,ZZ,-20.628
2,3,500,GI,-23.216
2,3,1000,ZZ,-22.362000000000002
2,3,1000,GI,-24.314
3,1,100,ZZ,-23.470000000000006
3,1,100,GI,-33.07
3,1,500,ZZ,-24.445999999999994
3,1,500,GI,-32.641999999999996
3,1,1000,ZZ,-23.913999999999998
3,1,1000,GI,-32.955999999999996
3,2,100,ZZ,-26.229999999999997
3,2,100,GI,-31.920000000000005
3,2,500,ZZ,-31.268
3,2,500,GI,-33.262
3,2,1000,ZZ,-31.259
3,2,1000,GI,-33.495
3,3,100,ZZ,-31.61
3,3,100,GI,-29.64
3,3,500,ZZ,-29.464
3,3,500,GI,-33.398
3,3,1000,ZZ,-31.242
3,3,1000,GI,-33.23899999999999
