P,L,S,Ansatz,E
1,1,100,ZZ,-10.370000000000001
1,1,100,GI,-13.41
1,1,500,ZZ,-9.27
1,1,500,GI,-13.787999999999998
1,1,1000,ZZ,-9.987999999999998
1,1,1000,GI,-14.067999999999998
1,2,100,ZZ,-13.04
1,2,100,GI,-13.919999999999998
1,2,500,ZZ,-13.142
1,2,500,GI,-14.172
1,2,1000,ZZ,-13.734999999999998
1,2,1000,GI,-14.103000000000002
1,3,100,ZZ,-13.459999999999999
1,3,100,GI,-13.91
1,3,500,ZZ,-11.400000000000002
1,3,500,GI,-14.206000000000001
1,3,1000,ZZ,-11.108
1,3,1000,GI,-14.261000000000001
2,1,100,ZZ,-16.029999999999998
2,1,100,GI,-23.61
2,1,500,ZZ,-17.392
2,1,500,GI,-23.629999999999995
2,1,1000,ZZ,-16.494
2,1,1000,GI,-23.452
2,2,100,ZZ,-21.259999999999998
2,2,100,GI,-23.480000000000004
2,2,500,ZZ,-21.77
2,2,500,GI,-23.674000000000003
2,2,1000,ZZ,-22.332999999999995
2,2,1000,GI,-23.565
2,3,100,ZZ,-20.619999999999997
2,3,100,GI,-23.040000000000003
2,3,500,ZZ,-22.784
2,3,500,GI,-23.287999999999997
2,3,1000,ZZ,-22.141
2,3,1000,GI,-23.689
3,1,100,ZZ,-22.599999999999994
3,1,100,GI,-32.4
3,1,500,ZZ,-23.497999999999998
3,1,500,GI,-33.258
3,1,1000,ZZ,-24.019000000000002
3,1,1000,GI,-33.05799999999999
3,2,100,ZZ,-30.1
3,2,100,GI,-31.079999999999995
3,2,500,ZZ,-31.734
3,2,500,GI,-33.272000000000006
3,2,1000,ZZ,-31.564
3,2,1000,GI,-33.512
3,3,100,ZZ,-29.689999999999994
3,3,100,GI,-30.549999999999997
3,3,500,ZZ,-29.555999999999997
3,3,500,GI,-33.134000000000015
3,3,1000,ZZ,-31.322
3,3,1000,GI,-33.149
