P,L,S,Ansatz,E
1,1,100,ZZ,-10.99
1,1,100,GI,-14.880000000000003
1,1,500,ZZ,-9.505999999999998
1,1,500,GI,-13.907999999999998
1,1,1000,ZZ,-9.781
1,1,1000,GI,-13.852000000000002
1,2,100,ZZ,-12.840000000000002
1,2,100,GI,-15.26
1,2,500,ZZ,-13.333999999999998
1,2,500,GI,-14.102
1,2,1000,ZZ,-13.456000000000003
1,2,1000,GI,-14.082
1,3,100,ZZ,-14.400000000000002
1,3,100,GI,-14.100000000000001
1,3,500,ZZ,-13.566
1,3,500,GI,-14.166
1,3,1000,ZZ,-13.316
1,3,1000,GI,-14.094000000000001
2,1,100,ZZ,-16.34
2,1,100,GI,-24.190000000000005
2,1,500,ZZ,-16.282
2,1,500,GI,-24.243999999999996
2,1,1000,ZZ,-17.075999999999997
2,1,1000,GI,-23.758000000000003
2,2,100,ZZ,-21.430000000000007
2,2,100,GI,-22.639999999999997
2,2,500,ZZ,-22.567999999999998
2,2,500,GI,-23.340000000000003
2,2,1000,ZZ,-22.360000000000003
2,2,1000,GI,-23.736000000000004
2,3,100,ZZ,-21.509999999999998
2,3,100,GI,-21.91
2,3,500,ZZ,-22.462
2,3,500,GI,-23.71
2,3,1000,ZZ,-22.410999999999994
2,3,1000,GI,-23.570999999999998
3,1,100,ZZ,-21.230000000000004
3,1,100,GI,-33.099999999999994
3,1,500,ZZ,-22.603999999999996
3,1,500,GI,-33.036
3,1,1000,ZZ,-23.150999999999993
3,1,1000,GI,-33.230000000000004
3,2,100,ZZ,-29.210000000000004
3,2,100,GI,-31.800000000000004
3,2,500,ZZ,-31.496000000000002
3,2,500,GI,-33.18
3,2,1000,ZZ,-31.578999999999997
3,2,1000,GI,-32.949
3,3,100,ZZ,-30.679999999999993
3,3,100,GI,-32.849999999999994
3,3,500,ZZ,-29.523999999999994
3,3,500,GI,-32.984
3,3,1000,ZZ,-31.187
3,3,1000,GI,-33.009
