P,L,S,Ansatz,E
1,1,100,ZZ,-8.979999999999999
1,1,100,GI,-14.139999999999999
1,1,500,ZZ,-9.748
1,1,500,GI,-13.986
1,1,1000,ZZ,-9.658
1,1,1000,GI,-14.503
1,2,100,ZZ,-12.579999999999998
1,2,100,GI,-13.870000000000001
1,2,500,ZZ,-13.452000000000002
1,2,500,GI,-14.100000000000001
1,2,1000,ZZ,-13.613
1,2,1000,GI,-14.185
1,3,100,ZZ,-13.930000000000001
1,3,100,GI,-13.77
1,3,500,ZZ,-13.114
1,3,500,GI,-14.216000000000001
1,3,1000,ZZ,-11.046999999999999
1,3,1000,GI,-14.073
2,1,100,ZZ,-16.38
2,1,100,GI,-23.91
2,1,500,ZZ,-16.855999999999998
2,1,500,GI,-23.806000000000004
2,1,1000,ZZ,-17.362000000000002
2,1,1000,GI,-23.357000000000003
2,2,100,ZZ,-21.389999999999997
2,2,100,GI,-23.21
2,2,500,ZZ,-22.38
2,2,500,GI,-23.644000000000005
2,2,1000,ZZ,-22.419000000000004
2,2,1000,GI,-23.83
2,3,100,ZZ,-22.26
2,3,100,GI,-21.87
2,3,500,ZZ,-22.591999999999995
2,3,500,GI,-23.624
2,3,1000,ZZ,-22.214000000000002
2,3,1000,GI,-23.785
3,1,100,ZZ,-22.28
3,1,100,GI,-33.4
3,1,500,ZZ,-23.892000000000003
3,1,500,GI,-33.426
3,1,1000,ZZ,-23.136000000000003
3,1,1000,GI,-33.749
3,2,100,ZZ,-30.129999999999995
3,2,100,GI,-32.85000000000001
3,2,500,ZZ,-31.492000000000004
3,2,500,GI,-32.978
3,2,1000,ZZ,-31.690999999999995
3,2,1000,GI,-33.047999999999995
3,3,100,ZZ,-29.999999999999996
3,3,100,GI,-31.260000000000005
3,3,500,ZZ,-30.576
3,3,500,GI,-32.886
3,3,1000,ZZ,-30.994999999999994
3,3,1000,GI,-33.26099999999999
