P,L,S,Ansatz,E
1,1,100,ZZ,-8.77
1,1,100,GI,-14.23
1,1,500,ZZ,-9.956
1,1,500,GI,-14.188000000000002
1,1,1000,ZZ,-9.811
1,1,1000,GI,-13.996
1,2,100,ZZ,-12.709999999999999
1,2,100,GI,-14.239999999999998
1,2,500,ZZ,-13.784
1,2,500,GI,-14.185999999999996
1,2,1000,ZZ,-13.190999999999999
1,2,1000,GI,-14.302999999999999
1,3,100,ZZ,-13.780000000000001
1,3,100,GI,-14.739999999999998
1,3,500,ZZ,-13.566
1,3,500,GI,-13.952000000000002
1,3,1000,ZZ,-13.392999999999997
1,3,1000,GI,-14.206999999999999
2,1,100,ZZ,-17.55
2,1,100,GI,-22.94
2,1,500,ZZ,-16.848
2,1,500,GI,-23.284000000000002
2,1,1000,ZZ,-16.545
2,1,1000,GI,-23.712999999999994
2,2,100,ZZ,-19.950000000000003
2,2,100,GI,-24.03
2,2,500,ZZ,-19.830000000000002
2,2,500,GI,-23.604
2,2,1000,ZZ,-22.973000000000006
2,2,1000,GI,-23.464
2,3,100,ZZ,-21.93
2,3,100,GI,-22.560000000000006
2,3,500,ZZ,-22.866000000000003
2,3,500,GI,-23.770000000000003
2,3,1000,ZZ,-20.652000000000005
2,3,1000,GI,-23.756000000000004
3,1,100,ZZ,-23.35
3,1,100,GI,-34.00000000000001
3,1,500,ZZ,-24.12600000000001
3,1,500,GI,-33.348
3,1,1000,ZZ,-23.71
3,1,1000,GI,-33.18900000000001
3,2,100,ZZ,-30.72
3,2,100,GI,-32.32
3,2,500,ZZ,-31.891999999999996
3,2,500,GI,-33.117999999999995
3,2,1000,ZZ,-31.426999999999992
3,2,1000,GI,-33.332
3,3,100,ZZ,-28.490000000000002
3,3,100,GI,-29.740000000000002
3,3,500,ZZ,-31.930000000000003
3,3,500,GI,-32.714
3,3,1000,ZZ,-31.291999999999998
3,3,1000,GI,-32.972
