P,L,S,Ansatz,E
1,1,100,ZZ,-9.819999999999999
1,1,100,GI,-14.270000000000001
1,1,500,ZZ,-9.768
1,1,500,GI,-14.04
1,1,1000,ZZ,-9.998999999999997
1,1,1000,GI,-14.078000000000001
1,2,100,ZZ,-13.549999999999999
1,2,100,GI,-14.020000000000001
1,2,500,ZZ,-13.172
1,2,500,GI,-13.96
1,2,1000,ZZ,-13.481
1,2,1000,GI,-14.211
1,3,100,ZZ,-13.170000000000002
1,3,100,GI,-13.41
1,3,500,ZZ,-11.262
1,3,500,GI,-14.411999999999999
1,3,1000,ZZ,-13.623999999999999
1,3,1000,GI,-14.149000000000001
2,1,100,ZZ,-15.629999999999999
2,1,100,GI,-22.099999999999998
2,1,500,ZZ,-15.986
2,1,500,GI,-23.96
2,1,1000,ZZ,-16.503
2,1,1000,GI,-23.505000000000003
2,2,100,ZZ,-21.83
2,2,100,GI,-22.839999999999996
2,2,500,ZZ,-22.732
2,2,500,GI,-23.830000000000002
2,2,1000,ZZ,-20.696999999999996
2,2,1000,GI,-23.415999999999997
2,3,100,ZZ,-21.470000000000006
2,3,100,GI,-22.889999999999993
2,3,500,ZZ,-22.374000000000006
2,3,500,GI,-23.512
2,3,1000,ZZ,-22.519999999999996
2,3,1000,GI,-23.962
3,1,100,ZZ,-23.07
3,1,100,GI,-33.2
3,1,500,ZZ,-23.282000000000004
3,1,500,GI,-32.757999999999996
3,1,1000,ZZ,-23.471000000000004
3,1,1000,GI,-33.533
3,2,100,ZZ,-30.070000000000004
3,2,100,GI,-32.71
3,2,500,ZZ,-31.575999999999997
3,2,500,GI,-33.078
3,2,1000,ZZ,-31.111
3,2,1000,GI,-32.79599999999999
3,3,100,ZZ,-30.42
3,3,100,GI,-32.379999999999995
3,3,500,ZZ,-31.188000000000002
3,3,500,GI,-33.43600000000001
3,3,1000,ZZ,-31.691000000000006
3,3,1000,GI,-33.144000000000005
