P,L,S,Ansatz,E
1,1,100,ZZ,-9.84
1,1,100,GI,-14.469999999999999
1,1,500,ZZ,-9.512
1,1,500,GI,-14.141999999999998
1,1,1000,ZZ,-9.803
1,1,1000,GI,-14.015999999999998
1,2,100,ZZ,-13.3
1,2,100,GI,-13.85
1,2,500,ZZ,-13.362000000000002
1,2,500,GI,-14.17
1,2,1000,ZZ,-13.559999999999999
1,2,1000,GI,-14.037
1,3,100,ZZ,-11.0
1,3,100,GI,-14.159999999999998
1,3,500,ZZ,-13.37
1,3,500,GI,-14.303999999999997
1,3,1000,ZZ,-11.129999999999999
1,3,1000,GI,-14.417000000000002
2,1,100,ZZ,-17.300000000000004
2,1,100,GI,-24.230000000000004
2,1,500,ZZ,-16.330000000000005
2,1,500,GI,-24.131999999999998
2,1,1000,ZZ,-17.006
2,1,1000,GI,-23.603
2,2,100,ZZ,-22.700000000000003
2,2,100,GI,-24.19
2,2,500,ZZ,-22.168000000000006
2,2,500,GI,-23.960000000000004
2,2,1000,ZZ,-22.750999999999998
2,2,1000,GI,-23.949
2,3,100,ZZ,-21.409999999999997
2,3,100,GI,-22.45
2,3,500,ZZ,-22.830000000000005
2,3,500,GI,-23.468000000000004
2,3,1000,ZZ,-22.607999999999997
2,3,1000,GI,-23.689999999999998
3,1,100,ZZ,-22.12
3,1,100,GI,-33.260000000000005
3,1,500,ZZ,-23.238
3,1,500,GI,-32.694
3,1,1000,ZZ,-24.108999999999998
3,1,1000,GI,-33.185
3,2,100,ZZ,-29.440000000000005
3,2,100,GI,-31.320000000000007
3,2,500,ZZ,-31.210000000000004
3,2,500,GI,-33.397999999999996
3,2,1000,ZZ,-31.894999999999996
3,2,1000,GI,-33.256
3,3,100,ZZ,-29.060000000000006
3,3,100,GI,-30.189999999999994
3,3,500,ZZ,-31.057999999999996
3,3,500,GI,-32.81
3,3,1000,ZZ,-31.346
3,3,1000,GI,-33.147
