P,L,S,Ansatz,E
1,1,100,ZZ,-10.5
1,1,100,GI,-13.790000000000003
1,1,500,ZZ,-9.957999999999998
1,1,500,GI,-13.61
1,1,1000,ZZ,-10.251
1,1,1000,GI,-13.997
1,2,100,ZZ,-13.75
1,2,100,GI,-13.59
1,2,500,ZZ,-13.422
1,2,500,GI,-14.059999999999999
1,2,1000,ZZ,-13.306999999999999
1,2,1000,GI,-13.804000000000002
1,3,100,ZZ,-12.17
1,3,100,GI,-14.150000000000002
1,3,500,ZZ,-13.452
1,3,500,GI,-14.293999999999999
1,3,1000,ZZ,-13.705999999999998
1,3,1000,GI,-14.197
2,1,100,ZZ,-16.649999999999995
2,1,100,GI,-23.650000000000002
2,1,500,ZZ,-16.987999999999996
2,1,500,GI,-23.486
2,1,1000,ZZ,-16.943
2,1,1000,GI,-23.834999999999997
2,2,100,ZZ,-17.779999999999998
2,2,100,GI,-24.1
2,2,500,ZZ,-21.596000000000007
2,2,500,GI,-23.711999999999996
2,2,1000,ZZ,-22.499999999999996
2,2,1000,GI,-23.503
2,3,100,ZZ,-20.369999999999997
2,3,100,GI,-22.330000000000002
2,3,500,ZZ,-22.637999999999998
2,3,500,GI,-24.076
2,3,1000,ZZ,-22.366000000000007
2,3,1000,GI,-24.067
3,1,100,ZZ,-24.189999999999998
3,1,100,GI,-31.830000000000002
3,1,500,ZZ,-22.85
3,1,500,GI,-33.806
3,1,1000,ZZ,-23.637999999999998
3,1,1000,GI,-33.471999999999994
3,2,100,ZZ,-30.089999999999996
3,2,100,GI,-34.6
3,2,500,ZZ,-29.179999999999996
3,2,500,GI,-32.938
3,2,1000,ZZ,-31.672000000000004
3,2,1000,GI,-33.059
3,3,100,ZZ,-28.85
3,3,100,GI,-29.39
3,3,500,ZZ,-31.206
3,3,500,GI,-32.74
3,3,1000,ZZ,-31.911
3,3,1000,GI,-33.871
