P,L,S,Ansatz,E
1,1,100,ZZ,-8.790000000000001
1,1,100,GI,-14.11
1,1,500,ZZ,-10.096
1,1,500,GI,-13.675999999999998
1,1,1000,ZZ,-10.017000000000001
1,1,1000,GI,-13.852999999999998
1,2,100,ZZ,-13.170000000000002
1,2,100,GI,-14.13
1,2,500,ZZ,-12.964000000000002
1,2,500,GI,-13.997999999999998
1,2,1000,ZZ,-13.165000000000003
1,2,1000,GI,-14.206000000000001
1,3,100,ZZ,-13.029999999999998
1,3,100,GI,-14.13
1,3,500,ZZ,-13.543999999999997
1,3,500,GI,-13.942
1,3,1000,ZZ,-11.770999999999999
1,3,1000,GI,-14.041
2,1,100,ZZ,-15.93
2,1,100,GI,-24.22
2,1,500,ZZ,-16.025999999999996
2,1,500,GI,-23.586000000000002
2,1,1000,ZZ,-16.328000000000003
2,1,1000,GI,-23.419
2,2,100,ZZ,-21.65
2,2,100,GI,-21.130000000000003
2,2,500,ZZ,-22.253999999999998
2,2,500,GI,-23.59
2,2,1000,ZZ,-22.468999999999998
2,2,1000,GI,-23.901
2,3,100,ZZ,-21.84
2,3,100,GI,-23.559999999999995
2,3,500,ZZ,-19.8
2,3,500,GI,-23.932000000000002
2,3,1000,ZZ,-22.712999999999997
2,3,1000,GI,-23.499
3,1,100,ZZ,-24.669999999999998
3,1,100,GI,-32.43000000000001
3,1,500,ZZ,-23.029999999999998
3,1,500,GI,-33.13600000000001
3,1,1000,ZZ,-23.410000000000007
3,1,1000,GI,-33.27499999999999
3,2,100,ZZ,-28.389999999999997
3,2,100,GI,-32.09
3,2,500,ZZ,-31.437999999999995
3,2,500,GI,-33.098
3,2,1000,ZZ,-31.726
3,2,1000,GI,-33.77
3,3,100,ZZ,-29.500000000000004
3,3,100,GI,-30.35000000000001
3,3,500,ZZ,-27.482000000000003
3,3,500,GI,-32.99400000000001
3,3,1000,ZZ,-31.866000000000007
3,3,1000,GI,-32.93900000000001
