P,L,S,Ansatz,E
1,1,100,ZZ,-9.180000000000001
1,1,100,GI,-14.38
1,1,500,ZZ,-9.644000000000002
1,1,500,GI,-14.208
1,1,1000,ZZ,-9.963
1,1,1000,GI,-14.108999999999998
1,2,100,ZZ,-13.139999999999999
1,2,100,GI,-14.51
1,2,500,ZZ,-13.248
1,2,500,GI,-14.152
1,2,1000,ZZ,-13.018
1,2,1000,GI,-14.379
1,3,100,ZZ,-13.0
1,3,100,GI,-14.59
1,3,500,ZZ,-13.378
1,3,500,GI,-14.034
1,3,1000,ZZ,-13.421
1,3,1000,GI,-14.23
2,1,100,ZZ,-16.480000000000008
2,1,100,GI,-24.000000000000004
2,1,500,ZZ,-16.646000000000004
2,1,500,GI,-23.757999999999996
2,1,1000,ZZ,-16.815
2,1,1000,GI,-23.76
2,2,100,ZZ,-17.8
2,2,100,GI,-21.89
2,2,500,ZZ,-22.846
2,2,500,GI,-23.432000000000006
2,2,1000,ZZ,-22.697000000000003
2,2,1000,GI,-23.46
2,3,100,ZZ,-20.349999999999998
2,3,100,GI,-22.88
2,3,500,ZZ,-22.552000000000003
2,3,500,GI,-23.570000000000004
2,3,1000,ZZ,-22.696
2,3,1000,GI,-23.61
3,1,100,ZZ,-23.339999999999993
3,1,100,GI,-33.23
3,1,500,ZZ,-24.00800000000001
3,1,500,GI,-32.931999999999995
3,1,1000,ZZ,-24.321
3,1,1000,GI,-33.152
3,2,100,ZZ,-30.290000000000003
3,2,100,GI,-31.380000000000006
3,2,500,ZZ,-31.619999999999997
3,2,500,GI,-32.96600000000001
3,2,1000,ZZ,-31.705999999999996
3,2,1000,GI,-33.163
3,3,100,ZZ,-30.229999999999997
3,3,100,GI,-31.170000000000005
3,3,500,ZZ,-31.154
3,3,500,GI,-33.09400000000001
3,3,1000,ZZ,-31.172000000000004
3,3,1000,GI,-32.616
