P,L,S,Ansatz,E
1,1,100,ZZ,-9.14
1,1,100,GI,-13.7
1,1,500,ZZ,-8.836
1,1,500,GI,-14.047999999999998
1,1,1000,ZZ,-9.656999999999998
1,1,1000,GI,-14.293
1,2,100,ZZ,-13.149999999999999
1,2,100,GI,-13.34
1,2,500,ZZ,-13.505999999999998
1,2,500,GI,-13.865999999999998
1,2,1000,ZZ,-13.713000000000001
1,2,1000,GI,-14.130000000000003
1,3,100,ZZ,-13.49
1,3,100,GI,-14.319999999999999
1,3,500,ZZ,-13.484000000000002
1,3,500,GI,-14.127999999999998
1,3,1000,ZZ,-11.407
1,3,1000,GI,-13.885
2,1,100,ZZ,-15.370000000000001
2,1,100,GI,-24.92
2,1,500,ZZ,-16.232000000000003
2,1,500,GI,-23.264
2,1,1000,ZZ,-16.864
2,1,1000,GI,-23.731
2,2,100,ZZ,-20.0
2,2,100,GI,-22.839999999999996
2,2,500,ZZ,-22.445999999999998
2,2,500,GI,-23.876000000000005
2,2,1000,ZZ,-22.287
2,2,1000,GI,-23.82
2,3,100,ZZ,-21.52
2,3,100,GI,-22.54
2,3,500,ZZ,-22.240000000000002
2,3,500,GI,-23.608000000000004
2,3,1000,ZZ,-22.153
2,3,1000,GI,-23.424000000000003
3,1,100,ZZ,-23.740000000000006
3,1,100,GI,-33.0
3,1,500,ZZ,-23.742000000000004
3,1,500,GI,-33.181999999999995
3,1,1000,ZZ,-23.334
3,1,1000,GI,-33.134
3,2,100,ZZ,-29.910000000000004
3,2,100,GI,-31.66
3,2,500,ZZ,-30.898000000000003
3,2,500,GI,-33.507999999999996
3,2,1000,ZZ,-31.808999999999997
3,2,1000,GI,-33.28200000000001
3,3,100,ZZ,-29.080000000000002
3,3,100,GI,-31.340000000000007
3,3,500,ZZ,-30.805999999999997
3,3,500,GI,-32.704
3,3,1000,ZZ,-31.443
3,3,1000,GI,-33.18400000000001
