P,L,S,Ansatz,E
1,1,100,ZZ,-9.89
1,1,100,GI,-14.35
1,1,500,ZZ,-10.014
1,1,500,GI,-13.849999999999998
1,1,1000,ZZ,-9.961
1,1,1000,GI,-14.158000000000001
1,2,100,ZZ,-13.39
1,2,100,GI,-13.530000000000001
1,2,500,ZZ,-13.748000000000001
1,2,500,GI,-14.153999999999998
1,2,1000,ZZ,-13.501
1,2,1000,GI,-14.025
1,3,100,ZZ,-13.439999999999998
1,3,100,GI,-14.089999999999998
1,3,500,ZZ,-13.458000000000002
1,3,500,GI,-13.938
1,3,1000,ZZ,-13.344999999999999
1,3,1000,GI,-14.360999999999999
2,1,100,ZZ,-15.730000000000002
2,1,100,GI,-23.7
2,1,500,ZZ,-16.836
2,1,500,GI,-23.752000000000002
2,1,1000,ZZ,-16.955
2,1,1000,GI,-23.569000000000003
2,2,100,ZZ,-21.640000000000004
2,2,100,GI,-22.840000000000003
2,2,500,ZZ,-22.356
2,2,500,GI,-23.722
2,2,1000,ZZ,-22.606
2,2,1000,GI,-23.819999999999997
2,3,100,ZZ,-21.639999999999997
2,3,100,GI,-22.37
2,3,500,ZZ,-22.588000000000005
2,3,500,GI,-23.665999999999997
2,3,1000,ZZ,-22.774
2,3,1000,GI,-23.577000000000005
3,1,100,ZZ,-23.25
3,1,100,GI,-33.07
3,1,500,ZZ,-23.492
3,1,500,GI,-33.456
3,1,1000,ZZ,-23.232999999999997
3,1,1000,GI,-33.314
3,2,100,ZZ,-31.060000000000006
3,2,100,GI,-33.63
3,2,500,ZZ,-30.962000000000003
3,2,500,GI,-32.732
3,2,1000,ZZ,-31.639000000000003
3,2,1000,GI,-33.44199999999999
3,3,100,ZZ,-30.03000000000001
3,3,100,GI,-29.590000000000003
3,3,500,ZZ,-29.554000000000002
3,3,500,GI,-32.91400000000001
3,3,1000,ZZ,-31.010999999999992
3,3,1000,GI,-32.967000000000006
