P,L,S,Ansatz,E
1,1,100,ZZ,-9.299999999999999
1,1,100,GI,-12.919999999999998
1,1,500,ZZ,-10.144
1,1,500,GI,-13.964
1,1,1000,ZZ,-10.021
1,1,1000,GI,-14.157000000000002
1,2,100,ZZ,-12.31
1,2,100,GI,-13.98
1,2,500,ZZ,-13.755999999999998
1,2,500,GI,-14.242
1,2,1000,ZZ,-13.950999999999999
1,2,1000,GI,-13.866
1,3,100,ZZ,-13.209999999999999
1,3,100,GI,-14.219999999999999
1,3,500,ZZ,-13.504000000000001
1,3,500,GI,-13.484000000000002
1,3,1000,ZZ,-13.446
1,3,1000,GI,-14.21
2,1,100,ZZ,-15.7
2,1,100,GI,-22.61
2,1,500,ZZ,-16.988000000000003
2,1,500,GI,-23.186
2,1,1000,ZZ,-17.081000000000003
2,1,1000,GI,-23.730999999999998
2,2,100,ZZ,-21.779999999999998
2,2,100,GI,-21.720000000000002
2,2,500,ZZ,-22.38
2,2,500,GI,-23.793999999999997
2,2,1000,ZZ,-22.363000000000003
2,2,1000,GI,-23.679
2,3,100,ZZ,-20.95
2,3,100,GI,-22.339999999999996
2,3,500,ZZ,-22.562
2,3,500,GI,-24.008
2,3,1000,ZZ,-22.367999999999995
2,3,1000,GI,-23.713
3,1,100,ZZ,-23.02
3,1,100,GI,-32.55
3,1,500,ZZ,-22.93
3,1,500,GI,-33.544000000000004
3,1,1000,ZZ,-23.668000000000003
3,1,1000,GI,-33.275000000000006
3,2,100,ZZ,-28.570000000000004
3,2,100,GI,-32.300000000000004
3,2,500,ZZ,-31.710000000000008
3,2,500,GI,-32.687999999999995
3,2,1000,ZZ,-31.457
3,2,1000,GI,-33.247
3,3,100,ZZ,-29.200000000000006
3,3,100,GI,-31.699999999999996
3,3,500,ZZ,-31.183999999999994
3,3,500,GI,-32.71
3,3,1000,ZZ,-31.52
3,3,1000,GI,-32.798
